Hours_Studied,Attendance_Rate,Parental_Education,Internet_Access,Part_Time_Job,Previous_Grade,Final_Grade,Pass_Fail
5.993428306,95.09492288,Bachelor,No,No,75.71566237,80.15541863,Pass
4.723471398,89.63074471,High School,No,Yes,70.22342553,77.49225225,Pass
6.295377076,87.88062964,Master,No,No,79.78979826,78.25894605,Pass
8.046059713,88.09936336,PhD,No,No,78.33662105,59.67901709,Fail
4.531693251,74.37964605,High School,No,Yes,85.37539944,62.02732152,Pass
4.531726086,71.74367377,High School,Yes,No,69.89983601,87.63783424,Pass
8.158425631,92.37444622,PhD,Yes,No,72.30125065,74.52533815,Pass
6.534869458,92.40453579,High School,Yes,No,65.21236284,83.17800837,Pass
4.061051228,94.68289274,Bachelor,Yes,Yes,70.5570674,75.33982051,Pass
6.085120087,96.5296221,High School,No,No,78.77300493,75.35707367,Pass
4.073164614,80.45369595,Bachelor,No,No,82.56988617,86.25940567,Pass
4.068540493,80.06065179,Bachelor,Yes,No,65.77834676,68.80746326,Pass
5.483924543,91.93180716,PhD,No,Yes,83.6960592,76.15344932,Pass
1.173439511,85.99855723,High School,Yes,No,88.55637859,69.45269654,Pass
1.550164335,88.07867509,PhD,No,Yes,79.13434903,69.78604527,Pass
3.875424942,91.83170678,High School,Yes,Yes,93.76795813,71.28993452,Pass
2.974337759,95.60021367,High School,No,Yes,67.26210801,77.66560526,Pass
5.628494665,73.51980627,Master,No,Yes,62.55345297,69.25501654,Pass
3.183951849,75.02331811,High School,Yes,Yes,57.21279751,90.06907351,Pass
2.175392597,63.75927759,PhD,No,Yes,89.96044311,64.26471237,Pass
7.931297538,83.13120564,Bachelor,Yes,No,81.54365656,72.75754027,Pass
4.548447399,61.43769095,High School,Yes,Yes,74.44415329,69.7232273,Pass
5.135056409,78.62392073,Master,Yes,No,77.79968626,92.36373461,Pass
2.150503628,81.70578539,PhD,Yes,No,63.74510953,77.35865732,Pass
3.911234551,71.46165009,High School,No,Yes,99.4575198,87.38213447,Pass
5.221845179,83.63333042,PhD,No,No,76.29221182,57.17327552,Fail
2.698012845,61.22001,Master,No,No,76.09394795,78.20460319,Pass
5.751396037,61.49392755,Master,Yes,No,82.25766624,85.67556955,Pass
3.79872262,92.90402243,PhD,No,No,79.81009232,75.98740787,Pass
4.4166125,74.40762566,High School,Yes,Yes,77.23884024,87.7857645,Pass
3.796586776,65.08242051,Bachelor,No,No,67.09525545,68.7925386,Pass
8.704556369,80.8897304,Master,No,Yes,79.71468357,91.91216928,Pass
4.973005551,90.79974212,High School,No,No,93.82024496,100,Pass
2.884578142,68.6328411,High School,Yes,No,88.45420046,70.64593727,Pass
6.645089824,84.91561903,Bachelor,No,Yes,90.93186627,69.65396974,Pass
2.5583127,63.4138986,Master,No,No,69.88784324,92.44061373,Pass
5.41772719,62.06726885,Master,Yes,No,65.1039518,93.95486575,Pass
1.080659752,81.25418526,High School,No,No,73.7421308,68.72567967,Pass
2.343627902,81.62540486,High School,Yes,Yes,75.55724912,69.95775819,Pass
5.393722472,85.49719606,Bachelor,No,No,85.94191518,71.61858469,Pass
6.47693316,89.04365335,Bachelor,Yes,Yes,58.0753537,58.86659387,Fail
5.342736562,99.03408318,Master,Yes,No,90.29550319,63.97617664,Pass
4.768703435,80.65201393,PhD,No,Yes,73.41992101,62.9503108,Pass
4.397792609,72.91825892,Master,Yes,Yes,70.7311893,65.78642922,Pass
2.042956019,91.80744779,High School,Yes,No,64.87895625,74.58378135,Pass
3.560311583,70.83329005,Master,Yes,No,58.45143328,77.81057679,Pass
4.078722458,77.55885683,PhD,Yes,Yes,83.23170584,93.60600591,Pass
7.114244452,63.13825525,Bachelor,Yes,Yes,75.73317967,63.01975151,Pass
5.687236579,61.01402974,PhD,Yes,No,62.100391,86.81186878,Pass
1.473919689,98.50593659,PhD,No,Yes,62.04921228,72.43213387,Pass
5.648167939,93.43920482,PhD,Yes,No,71.64215301,74.40643548,Pass
4.229835439,87.83896824,Bachelor,Yes,No,91.69021525,83.09783391,Pass
3.646155999,76.35811778,PhD,No,No,72.40408649,61.52733574,Pass
6.223352578,66.9317728,PhD,No,No,59.96857047,79.58891695,Pass
7.061999045,66.25748171,PhD,No,Yes,72.54256936,76.9974265,Pass
6.862560238,70.00971593,High School,No,No,72.2727643,80.90941517,Pass
3.321564954,81.96906659,PhD,No,Yes,48.03113357,78.47002373,Pass
4.381575248,88.58383691,Bachelor,No,No,74.45705133,100,Pass
5.662526863,86.40789507,PhD,No,Yes,72.6906547,67.34712019,Pass
6.951090254,71.19735588,PhD,Yes,No,81.96206365,68.62803654,Pass
4.041651524,98.19461123,Bachelor,Yes,Yes,93.48956095,67.52231368,Pass
4.628682047,89.51587667,PhD,No,Yes,86.2656503,68.33427457,Pass
2.787330052,82.1741621,Bachelor,Yes,No,72.31111309,67.35135447,Pass
2.607586752,84.46882985,PhD,Yes,No,63.93474091,89.26819837,Pass
6.625051645,76.7840025,Bachelor,Yes,No,100,92.04605098,Pass
7.712480057,69.90923958,PhD,No,No,75.59218434,68.15104448,Pass
4.855979757,74.23890715,PhD,No,Yes,75.13929292,65.01173312,Pass
7.007065796,90.31384442,High School,Yes,No,74.75874913,80.65698668,Pass
5.72327205,60.57573955,High School,No,Yes,76.98084761,68.37332347,Pass
3.709760491,64.64290562,PhD,Yes,Yes,73.55639588,82.59518181,Pass
5.722791211,61.84010568,PhD,Yes,No,69.26337993,77.43507625,Pass
8.076073133,61.62915209,Master,Yes,Yes,69.53141059,56.81107062,Fail
4.928347922,94.21842336,Bachelor,Yes,Yes,74.6724673,93.57006242,Pass
8.129287312,88.14631438,Master,No,Yes,69.56575229,96.55053208,Pass
0,78.96695316,High School,No,Yes,67.87154217,67.64653571,Pass
6.643805009,63.91336643,High School,No,No,76.06430228,70.34758128,Pass
5.174094136,79.664635,High School,Yes,No,72.45022783,78.43038469,Pass
4.401985299,78.93887083,High School,No,No,90.03992989,79.01348148,Pass
5.183521553,66.9280748,PhD,Yes,No,48.49030192,82.90253127,Pass
1.024862171,77.35406597,High School,No,Yes,85.91506852,99.12245447,Pass
4.560656224,75.94018938,PhD,Yes,Yes,87.46085192,72.87663327,Pass
5.714225143,84.63400392,PhD,Yes,No,54.26609768,65.42043307,Pass
7.955788089,85.40374603,High School,Yes,No,71.57312406,58.44816926,Fail
3.963459563,61.81216039,High School,No,No,71.28559134,66.22883952,Pass
3.383012794,74.98450459,Bachelor,No,Yes,60.92488305,74.60247633,Pass
3.996485913,85.03439663,Master,No,No,67.22183312,96.53469436,Pass
6.830804235,80.12545034,High School,No,No,63.89424155,68.78866441,Pass
5.657502219,94.25959365,Bachelor,Yes,No,92.52270443,77.68545542,Pass
3.940479592,86.34774526,Bachelor,No,Yes,84.35678393,74.80292525,Pass
6.026534866,66.51737708,Master,No,Yes,87.71555095,89.26071928,Pass
5.194155099,62.8227499,PhD,Yes,Yes,82.21672064,100,Pass
6.937289981,85.69677113,High School,Yes,Yes,63.70948229,68.62957472,Pass
3.595893812,61.06045242,Master,Yes,Yes,69.75479734,69.12672669,Pass
4.344675707,83.43102325,High School,No,Yes,79.89374561,87.52993052,Pass
4.215783694,97.60920966,Bachelor,Yes,Yes,62.77872191,83.18269788,Pass
2.072970104,83.01896712,Bachelor,Yes,Yes,82.1299843,97.16048791,Pass
5.592240554,75.52679705,PhD,Yes,No,72.59674602,82.00713822,Pass
5.522110544,85.73152874,Bachelor,No,No,71.25179192,70.68849491,Pass
5.010226913,78.33011562,Bachelor,Yes,Yes,82.10959968,82.08785797,Pass
4.530825733,81.82467157,Master,No,Yes,79.44263311,88.30444297,Pass
2.169258516,97.65859235,High School,No,No,71.39033834,84.84578617,Pass
4.158709354,75.44410551,High School,Yes,Yes,86.59329803,81.08728837,Pass
4.314570967,98.44762255,Master,Yes,Yes,64.18936672,87.80009628,Pass
3.395445462,96.21402568,PhD,No,Yes,81.15935607,89.03154709,Pass
4.677428577,67.83164539,High School,Yes,No,80.93101258,91.58590789,Pass
5.808101714,62.77445204,Bachelor,Yes,No,71.90453561,82.78451865,Pass
8.772371802,64.03112006,High School,No,No,78.26133022,72.99458304,Pass
5.349155626,60.72887303,Bachelor,No,No,62.48886424,76.76056424,Pass
5.515100781,63.77771843,PhD,Yes,No,84.24027019,89.4781076,Pass
4.851108168,87.32027094,Master,No,Yes,73.15097864,65.19677195,Pass
1.162457569,62.84754594,High School,Yes,No,69.77276979,79.42407971,Pass
4.946972249,72.75902521,Master,Yes,Yes,85.49009226,70.27993425,Pass
5.12046042,93.79501244,High School,Yes,Yes,67.95656309,75.34493788,Pass
9.926484225,60.93087743,Bachelor,No,No,60.91538704,90.34142235,Pass
4.61527807,92.5787393,Master,Yes,No,59.43370826,77.29318882,Pass
5.603094685,71.27419099,High School,Yes,Yes,81.06009951,75.55723858,Pass
4.930576461,64.7265931,Bachelor,Yes,Yes,62.19570648,58.68172631,Fail
2.662643925,87.86948661,Master,No,Yes,92.54794182,83.95504279,Pass
7.285645629,85.15771387,Master,No,No,54.18070592,82.74581017,Pass
6.503866065,95.09888054,High School,No,No,91.96456368,100,Pass
6.582063894,89.40284175,High School,No,No,77.11017467,71.30666118,Pass
3.18122509,92.13923722,High School,No,No,74.03286888,77.62980393,Pass
7.805588622,71.2813829,Bachelor,Yes,No,69.55080913,77.9926042,Pass
2.196297874,67.09758175,High School,No,Yes,78.99136114,93.92943936,Pass
6.173714188,90.02459007,Master,No,No,74.62365298,73.85645361,Pass
9.380911252,92.27338957,Master,No,Yes,86.03301882,78.34825831,Pass
3.01892735,99.62020568,High School,Yes,Yes,76.14227649,82.29475812,Pass
3.867404541,76.50470708,High School,No,Yes,76.50301761,77.23930948,Pass
5.19930273,74.88072343,PhD,No,No,71.36387788,69.64279663,Pass
3.993048692,91.05651843,Master,Yes,No,74.43054376,77.32907991,Pass
1.898673138,73.63214161,Bachelor,No,No,78.07801769,87.883581,Pass
5.13712595,97.23029302,PhD,Yes,Yes,57.89831607,62.68181641,Pass
2.875392573,94.33651007,High School,Yes,Yes,61.51814578,76.59563609,Pass
5.947184861,77.1597611,High School,Yes,Yes,82.43264094,66.59855022,Pass
3.161151532,90.03484271,Master,Yes,Yes,76.70865438,89.34055955,Pass
8.09986881,90.18171496,High School,Yes,Yes,73.16016664,56.72175714,Fail
3.433493415,64.12495475,Bachelor,No,Yes,75.18433933,68.29293783,Pass
4.355876968,96.10211627,Master,Yes,No,78.47581705,79.5265425,Pass
6.627034435,80.2100949,High School,Yes,No,69.6024032,93.78628835,Pass
2.538271367,93.05829864,Master,No,No,67.21695275,74.21099687,Pass
5.454919869,72.80198404,High School,Yes,No,76.95845255,68.33760568,Pass
7.614285509,95.82092914,High School,No,Yes,65.21627222,97.57388483,Pass
1.785033531,75.56806715,High School,No,Yes,79.08252756,57.6238332,Fail
5.369267717,60.43350606,Bachelor,No,No,57.97416396,48.61432852,Fail
5.519765588,96.21527906,Bachelor,Yes,Yes,85.29155637,80.2801734,Pass
6.563645744,63.65146707,Master,Yes,No,79.72597482,68.97534931,Pass
2.526098578,72.7725455,High School,Yes,No,77.56029734,62.74520619,Pass
2.359086774,98.00247868,High School,No,No,84.82690984,83.50027737,Pass
6.043883131,98.02428588,Bachelor,Yes,Yes,91.65474444,77.92560857,Pass
5.593969346,82.93751552,High School,Yes,No,85.14370065,68.23105643,Pass
5.500985701,85.27348849,Bachelor,Yes,No,56.59125769,59.63634722,Fail
5.692896419,77.93782088,High School,No,No,62.20423033,85.46948794,Pass
3.639950557,71.72843087,Master,No,Yes,68.75181422,82.80241414,Pass
5.464507394,73.14658181,High School,Yes,Yes,75.2609105,73.80988963,Pass
5.586144947,86.90073824,High School,Yes,No,80.1765902,97.15964395,Pass
3.571297164,90.09498118,PhD,Yes,Yes,67.74256187,62.1589828,Pass
8.731549022,91.66316175,Bachelor,Yes,Yes,76.86766764,56.69369795,Fail
5.947665842,91.58472571,High School,No,Yes,67.44617068,66.69710316,Pass
2.617393006,63.64824412,High School,No,Yes,68.88482197,74.4529678,Pass
6.313107217,79.77681219,PhD,No,Yes,60.93338903,77.92007339,Pass
3.05063666,62.3023504,PhD,No,Yes,65.76766754,72.10516731,Pass
6.574169207,81.98115529,Bachelor,Yes,Yes,61.48315394,79.22466476,Pass
7.317191158,77.66122005,PhD,Yes,Yes,65.24126747,59.98152691,Fail
3.358635363,95.50816731,Master,Yes,Yes,85.53641797,92.32517525,Pass
6.926752258,74.0366005,PhD,No,Yes,65.50601111,74.01418586,Pass
5.825561854,64.68268066,Master,Yes,No,100,88.40754998,Pass
6.64412032,65.71966728,Bachelor,No,No,79.93317901,79.11270416,Pass
8.793585965,90.46042527,Bachelor,No,Yes,76.84836124,80.48103863,Pass
4.509223768,84.72872253,Bachelor,Yes,No,66.4164222,81.83720736,Pass
3.492527671,64.04490704,Bachelor,Yes,No,82.00309879,80.37250272,Pass
3.220971141,63.36427224,Bachelor,Yes,Yes,69.24362174,82.71267312,Pass
3.36837943,88.03876526,Master,No,Yes,76.22009815,90.94983036,Pass
4.845796581,62.91052025,Master,Yes,Yes,100,77.35825404,Pass
5.68230395,92.87440237,Bachelor,No,No,74.039401,83.50804509,Pass
5.553381599,88.24968909,PhD,Yes,No,86.49273326,73.92317167,Pass
6.654366498,63.25395123,High School,No,Yes,67.96823575,92.28140659,Pass
5.026003784,63.39350856,Bachelor,No,Yes,74.6501151,66.88329238,Pass
7.907068154,99.46558314,PhD,Yes,Yes,92.70800636,96.61128519,Pass
4.470686334,74.97083183,High School,No,No,68.73032942,74.51810459,Pass
10.44033833,74.82568588,Bachelor,No,No,93.12448558,57.83069877,Fail
6.251334696,92.51198269,Bachelor,Yes,No,82.07751935,76.53725298,Pass
3.285684887,97.8899431,Master,No,No,69.37533224,66.82738011,Pass
2.858215004,99.44004255,High School,Yes,Yes,81.32407739,85.08772259,Pass
5.96494483,90.13512741,High School,No,Yes,84.7255445,67.16851225,Pass
4.553074429,75.05038342,PhD,Yes,Yes,81.21809962,69.6457988,Pass
6.428000988,63.34002867,Master,Yes,Yes,59.2977528,52.32551123,Fail
5.946475249,91.08587664,Master,No,No,67.72862824,69.57232417,Pass
4.854342175,82.33616999,Master,No,No,72.52481364,45.91344808,Fail
3.306412564,76.96888037,Master,No,Yes,74.25566571,55.99316612,Fail
1.970305551,96.2541754,High School,No,Yes,81.20672098,84.12497587,Pass
4.106970096,64.44789929,High School,No,No,76.77701001,84.4296019,Pass
6.712797589,79.70500417,Bachelor,Yes,Yes,61.64655641,80.10549074,Pass
5.428187488,60.45414579,Bachelor,No,No,78.80197851,63.39628628,Pass
2.508522443,78.74642568,Master,Yes,Yes,81.10585745,74.42746373,Pass
5.346361852,62.25213103,Master,Yes,Yes,80.59790448,74.95676953,Pass
5.770634759,64.75271665,Master,No,Yes,85.80780726,61.09962373,Pass
3.232285128,64.70104987,Bachelor,Yes,Yes,83.33922155,93.04077962,Pass
5.307450212,85.96841208,PhD,Yes,Yes,79.59180079,85.52834749,Pass
5.116417437,89.84179517,PhD,Yes,Yes,74.29834289,72.34842991,Pass
2.714059404,83.3347506,Bachelor,Yes,Yes,58.39039066,75.32263007,Pass
